"web-scraper-order","web-scraper-start-url","citizen","citizen-href","score","citizentv-href","data","comments","youtubevideo","youtubevideo-href","comment"
"1677258463-6","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","1","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","John Kj Kiarie@KiarieJohn·Feb 21#MapemaNdioBest

Early morning conversations on @citizentvkenya‘s DAYBREAK covering a wide range of topics of interest today.581581,303209.3K","","","",""
"1677258463-7","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","2","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","Faizah wanjiru@wfayzah·Feb 20Jumanne hii kwenye @citizentvkenya  naye @MKapombe  kuanzia saa nne asubuhi0:422,559 views255912.2K","","","",""
"1677258463-8","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","3","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","Mashirima Kapombe@MKapombe·Feb 20#Mwengewakaunti KISII Jumanne (kesho) 10am61410419.1K","","","",""
"1677258463-9","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","4","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","#Bambika@Bambikafanpage·Feb 19Welcome to #Bambika on @citizentvkenya 

Today's topic ""Brotherly Love""

Send your shout outs to your siblings.

With @timelessnoel1 x @djggactivist381312819.7K","","","",""
"1677258463-10","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","5","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","John Kj Kiarie@KiarieJohn·Feb 21#MapemaNdioBest

Early morning conversations on @citizentvkenya‘s DAYBREAK covering a wide range of topics of interest today.581581,303209.3K","","",""
"1677258463-11","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","6","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","Faizah wanjiru@wfayzah·Feb 20Jumanne hii kwenye @citizentvkenya  naye @MKapombe  kuanzia saa nne asubuhi0:422,559 views255912.2K","","",""
"1677258463-12","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","7","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","Mashirima Kapombe@MKapombe·Feb 20#Mwengewakaunti KISII Jumanne (kesho) 10am61410419.1K","","",""
"1677258463-13","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","8","https://twitter.com/citizentvkenya/likes?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","#Bambika@Bambikafanpage·Feb 19Welcome to #Bambika on @citizentvkenya 

Today's topic ""Brotherly Love""

Send your shout outs to your siblings.

With @timelessnoel1 x @djggactivist381312819.7K","","",""
"1677258477-14","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","9","https://twitter.com/citizentvkenya/media?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","Citizen TV Kenya@citizentvkenya·47m124 people arrested for violating curfew orders in North Rift, Interior CS Kindiki says 39 firearms have so far been surrendered as three-day amnesty elapses32403,366","","","",""
"1677258477-15","https://twitter.com/citizentvkenya?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","","","1","https://twitter.com/citizentvkenya/media?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","Citizen TV Kenya@citizentvkenya·48mZiara ya Jill Biden:

Mke wa Rais wa Marekani Jill Biden awasili Kenya kwa ziara ya siku mbili. Dkt Biden ataangazia maslahi ya wanawake na nafasi ya vijana Afrika #NipasheWikendi @MKapombe11122,178","","","",""
